,text,selected_text,sentiment,Age of User,Country
7252,take me with you have fun,have fun,positive,60-70,Uruguay
7253,goddamn bloody stress and sending my body haywire,****,negative,70-100,Uzbekistan
7254,i miss my daddy so much,miss,negative,0-20,Vanuatu
7255,i m thinking that you me should have it out over some vin in hk,"i`m thinking that you, me, , +  should have it out over some vin in hk",neutral,21-30,Venezuela
7256,why is it going to be antisocial,why is it going to be anti-social?,neutral,31-45,Vietnam
7257,then back to school,then back to **** school,negative,46-60,Yemen
7258,now i can not find him going to be a sleepless night time_tonight,cant find him,negative,60-70,Zambia
7259,pretty is it long or short sparkly or shiny laughing out loud,pretty  is it long or short? sparkly or shiny? lol,neutral,70-100,Zimbabwe
7260,_ person_cm did nt drink enough for a hangover just tired and over worked,just tired and over worked,negative,0-20,Afghanistan
7261,i want to say happy mothers day to all the moms including mine love you mama,i wanna say happy mother`s day to all the mom`s including mine love u mama,positive,21-30,Albania
7262,i miss laughing till my stomache hurts,miss,negative,31-45,Algeria
7263,org_aww org_bless hope the phones okayy x x,aww bless hope the phones okayy  x,positive,46-60,Andorra
7264,just spoke to keith norp_urbans record company we ca nt get him on the show till were back from holidays sorry jack were trying mate,sorry,negative,60-70,Angola
7265,me too wish i could get you here,me tooo!! wish i could get you here,neutral,70-100,Antigua and Barbuda
7266,it would sicken most the number of ways i am able to tweet,"it would sicken most,",negative,0-20,Argentina
7267,hi beautiful how s it going,hi beautiful!,positive,21-30,Armenia
7268,URL swoon person_nick person_looks so cute when he is serious faints,http://twitpic.com/4vp3x - *swoon* nick looks so cute when he is serious  *faints*,neutral,31-45,Australia
7269,yeah that was me date_yesterday after i found out the house i want is sold my bank fked me over and then the car accident,car accident,negative,46-60,Austria
7270,well done visteon gpe_belfast too date_years salary paid just shows what happens when you stand up for yourself,well done,positive,60-70,Azerbaijan
7271,_ person_pyee sure,_pyee sure,neutral,70-100,Bahamas
7272,ughjust starting time_another time_too time_hours of behind the wheel for drivers ed,ugh..,negative,0-20,Bahrain
7273,hurt done trying,hurt.,negative,21-30,Bangladesh
7274,again no pf changs for lunch boo,"again, no p.f. changs for lunch    boooo",neutral,31-45,Barbados
7275,my chick will not shut up will only stop chirping if i sit with the bloody thing,my chick wont shut up,negative,46-60,Belarus
7276,well what is up than do not be scared now laughing out loud you d probably like it if it came to biting,well wassup than dont be scurred now! lol you`d probably like it if it came to biting!,neutral,60-70,Belgium
7277,had date_a date_fun date_day at the theatre glad to be back in town for a while,had a fun day,positive,70-100,Belize
7278,interesting date_day good overall,interesting day. good overall,positive,0-20,Benin
7279,i want to cry,i want to cry,negative,21-30,Bhutan
7280,happy star wars day may the th be with you my lil NUMBERyr old brother is at home playing with a lego atat and cardinal_dozens of stormtroopers,happy,positive,31-45,Bolivia
7281,i want to watch tormented its showing on may org_NUMBER,i wanna watch tormented. it`s showing on may 22,neutral,46-60,Bosnia and Herzegovina
7282,good morning how is you,good morning,positive,60-70,Botswana
7283,ooh how is milan i could do with a holiday bfoyf is off to gpe_geneva date_today visiting family so i have got date_a date_weekend on my own,ooh how is milan? i could do with a holiday! bfoyf is off to geneva today visiting fam so ive got a weekend on my own,neutral,70-100,Brazil
7284,i wish our did nt close,i wish our  didn`t close,negative,0-20,Brunei
7285,thanks for the link i have voted ill send that out too,thanks for the link,positive,21-30,Bulgaria
7286,wishes a happy mothers day,happy,positive,31-45,Burkina Faso
7287,my bum hurts,hurts.,negative,46-60,Burundi
7288,good night everyone time to go mimmiz,good night everyone...,positive,60-70,Cï¿½te d'Ivoire
7289,_ eclectic but then you leave,_eclectic but then you leave,neutral,70-100,Cabo Verde
7290,flight to hurghada delayed time_hours,delayed,negative,0-20,Cambodia
7291,actually i think doogie howser got the idea from the captains log,actually i think doogie howser got the idea from the captain`s log.,neutral,21-30,Cameroon
7292,no more brother for too date_weeks,no more brother,positive,31-45,Canada
7293,there was a mix up with my dentist appointment time_this time_afternoon so they rescheduled me for person_moro at am,there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.,neutral,46-60,Central African Republic
7294,is also very excited for the blazin squad revival org_Instant org_Message rooting for them their new song URL,is also very excited,positive,60-70,Chad
7295,off to do some gardening and get lots of fresh am i right i love sundays,i love sundays,positive,70-100,Chile
7296,listening to echo by gorilla zoe ahh love that song,ahh love that song,positive,0-20,China
7297,its so hot here,its so hot here,negative,21-30,Colombia
7298,just saw a dark burgundy scion xb that dark shade makes it look like a minivan because the shawdows of the lines and curves are lost,lost.,negative,31-45,Comoros
7299,wow you ve been tweeting all night looks like you totally made up for date_the date_day,wow!,positive,46-60,Congo (Congo-Brazzaville)
7300,somehow i can not reply to your message laughing out loud and yes i know thank youu,somehow i cant reply to your message lol and yes i know  thank youuu,neutral,60-70,Costa Rica
7301,where are you miss you i hope you are doing well sending big hugs,where are u  miss you i hope you are doing well *sending big hugs,positive,70-100,Croatia
7302,i do that all the time,i do that all the time,neutral,0-20,Cuba
7303,ughhi do not feel good,dont feel good,negative,21-30,Cyprus
7304,awesome that s how i want to roll when i become mogul status,awesome!,positive,31-45,Czechia (Czech Republic)
7305,yeah i did nt realize how bad it all was till now,e how bad it all was,negative,46-60,Democratic Republic of the Congo
7306,aww yeah i feel you i know its hard,. i know its hard,negative,60-70,Denmark
7307,i want to watch the movie up but no one wants to watch it with me,no one wants to watch it with me,negative,70-100,Djibouti
7308,not sure there are fanciful expensive ones but some basic ones are not expensive try the NUMBERhr m shopping place,not sure... there are fanciful expensive ones - but some basic ones are not expensive.,neutral,0-20,Dominica
7309,i really am going to miss you,miss you,negative,21-30,Dominican Republic
7310,going away party at ambers road trip date_tomorrow,going away party at ambers  road trip tomorrow!,neutral,31-45,Ecuador
7311,so tired only need to be here another NUMBER minutes,so tired.,negative,46-60,Egypt
7312,just finished the minish cap its a great game ill miss ezlo and link,great,positive,60-70,El Salvador
7313,back in the office for date_a date_hectic date_week but date_the date_weekend was awesome,back in the office for a hectic week - but the weekend was awesome,neutral,70-100,Equatorial Guinea
7314,unfortunatley it is the tooth kind of crown,unfortunatley,negative,0-20,Eritrea
7315,_ time_morning just checking you can still find your twhirl,"morning, just checking you can still find your twhirl",neutral,21-30,Estonia
7316,new project at work,new project @ work,neutral,31-45,"Eswatini (fmr. ""Swaziland"")"
7317,going to bed but must say i love that org_justin timberlake and person_mark person_martin are the and trending topics on twitter tonite rock,"goin to bed, but must say i love that #justin timberlake and #mark martin are the #3 and #4 trending topics on twitter tonite!  rock.",neutral,46-60,Ethiopia
7318,yep which sucks because i thought somewhere it said it was,yep  which sucks because i thought somewhere it said it was..,negative,60-70,Fiji
7319,my friends are mocking my weekend have they been talking to you,my friends are mocking my weekend!   have they been talking to you?,neutral,70-100,Finland
7320,date_saturday is partytiime,partytiiime,positive,0-20,France
7321,starting class date_today we start medisoft,starting class. today we start medisoft,neutral,21-30,Gabon
7322,i have something to say and no one is listening,****,negative,31-45,Gambia
7323,recovering from norp_mexican fiesta had a bit too much of a good time,had a bit too much of a good time!,positive,46-60,Georgia
7324,good morning my little twitternut squashes how are you all today what is the weather like where you are,good,positive,60-70,Germany
7325,use mozycom,use,neutral,70-100,Ghana
7326,um happy star wars day by the way cheers to all you scruffy looking nerfherders and hot amis out there,happy star wars,positive,0-20,Greece
7327,i live in gpe_germany it costs a lot too i wish you could follow me anyway,": i live in germany, it costs a lot too!  i wish you could follow me anyway..",neutral,21-30,Grenada
7328,you ll be waiting a loong time,you`ll be waiting a loooong time,neutral,31-45,Guatemala
7329,nothing is going on here is guess,nothing is going on here is guess,neutral,46-60,Guinea
7330,yay for fullterm,yay for full-term!!,positive,60-70,Guinea-Bissau
7331,just woke up ca nt go back to sleep had a text from the best friend forever sayin if you re up call me sounds important but that was for time_hours time_ago,sounds important bu,positive,70-100,Guyana
7332,URL beauty going out now,beauty.  going out now!,neutral,0-20,Haiti
7333,awesome cheers man do nt know if ill have much money left after todays shopping spree though,awesome!,positive,21-30,Holy See
7334,this already feels like cardinal_one of those days where i just wo nt be able to win,won`t be able to win.,negative,31-45,Honduras
7335,when are you and coming over so we can violently agree,when are you and  coming over so we can violently agree?,neutral,46-60,Hungary
7336,date_two date_week extension on contract i m ready for it to be done,two week extension on contract ... i`m ready for it to be done,neutral,60-70,Iceland
7337,everyone please welcome my new friend kari with a warm follow as she just set up her twitter account time_tonight,warm,positive,70-100,India
7338,i already seen am and person_jazzy i know they blew the roof off was supposed too go to pony party i could nt make it out time_last time_night,"i already seen am and jazzy i know they blew the roof off! was supposed 2 go to pony party, i couldn`t make it out last night",neutral,0-20,Indonesia
7339,she made my sister cry too hahah bless her i hope she can do it again,bless,positive,21-30,Iran
7340,pshh thanks,thanks.,positive,31-45,Iraq
7341,found cardinal_six great vegan places to eat and relax at cardinal_four of which i ca nt get to without a car,found six great vegan places to eat and relax at; four of which i can`t get to without a car,neutral,46-60,Ireland
7342,is waiting for someone to come online,is waiting for sumone to come online,neutral,60-70,Israel
7343,you do realize tom fletcher from mcfly just posted basically the same thing twins,you do realize tom fletcher from mcfly just posted basically the same thing!! twins!,neutral,70-100,Italy
7344,person_dammi thought i was on to something loll,dammm.,negative,0-20,Jamaica
7345,no its annoying and makes us girls that follow sports and are knowledgable look dumb,"no, it`s annoying and makes us girls that follow sports and are knowledgable look dumb",negative,21-30,Japan
7346,recovering from a lovely but slightly stressful date_weekend in gpe_france,recovering from a lovely but slightly stressful weekend in france,neutral,31-45,Jordan
7347,yes cardinal_one final party better make it a good one how much mpre stuff you got to go,a good,positive,46-60,Kazakhstan
7348,i would like to be able to go just to cardinal_one of those,i would like to be able to go just to one of those,neutral,60-70,Kenya
7349,woohoothis is the dayweek the lord has made just remembered we get to wear jeans chanclas date_all date_week,woohoo..this is the day/week the lord has made! just remembered we get to wear jeans & chanclas all week!,neutral,70-100,Kiribati
7350,hello how are you,hello how are you,neutral,0-20,Kuwait
7351,this laptop is going to die its not working,"this laptop is going to die,",negative,21-30,Kyrgyzstan
7352,i lied have yet to see good looking men,i lied have yet to see good looking men,neutral,31-45,Laos
7353,good morning my norp_swedish friend i love the meat balls haha,love,positive,46-60,Latvia
7354,i want to get all dressed up and go out to but i to have no one to go with i m with you mentor,"but i to have no one to go with,",negative,60-70,Lebanon
7355,happy mothers day to those of you that are mothers and happy mothers day to all of your mothers i miss my mom,"happy mothers day to those of u that are mothers, and happy mothers day to all of your mothers      i miss my mom.",positive,70-100,Lesotho
7356,i do not know what to eat for breakfast hmm Instant Message so hungry,i dont noe what to eat for breakfast hmmmmmmm im so hungry,neutral,0-20,Liberia
7357,aiaahh poor you tell your mom already,poor u,negative,21-30,Libya
7358,_ person_b_judah i am too old for vegas,i am too old for vegas,neutral,31-45,Liechtenstein
7359,hello world,hello world,neutral,46-60,Lithuania
7360,roscoe smooth sailin why did no one tell me about this song rap friends you have failed me,why did no one tell me about this song?????? rap friends u have failed me,negative,60-70,Luxembourg
7361,i have the adam lambert version of gpe_feelin good in my head i miss person_idol already,i have the adam lambert version of feelin good in my head... i miss idol already.,neutral,70-100,Madagascar
7362,i m at home recovering from major liver surgery in a lot of pain,in alot of pain.,negative,0-20,Malawi
7363,do nt care about my struggles,don`t care about my struggles..,negative,21-30,Malaysia
7364,yeah i am so happy for them that they should moved on and out there partying i am so happy,i m so happy,positive,31-45,Maldives
7365,so much work so little time,"so much work, so little time",negative,46-60,Mali
7366,happy mothers day moms take a load of for date_at date_least date_a date_day,happy,positive,60-70,Malta
7367,home do nt think ill wake up at p i had set an alarm for in the kids room forgot to turn it off i feel bad about that,forgot to turn it off. i feel bad about that.,negative,70-100,Marshall Islands
7368,silly boyfriend forgets his phone charger on his for date_day long trip to kilkenny and now i ca nt talk to him and see how his gig went poo,forgets,negative,0-20,Mauritania
7369,so my ordinal_first aid shift started out with some excitement but now its kind of died down i wish i could do this more often,so my first aid shift started out with some excitement but now it`s kinda died down...  i wish i could do this more often!,neutral,21-30,Mauritius
7370,driving home after an okay night iwish,driving home after an ok night  iwish,neutral,31-45,Mexico
7371,i hate sitting at the doctors office they told me she is running an hour behind awesome,i hate sitting at the doctors office! they told me she is running an hour behind! awesome,neutral,46-60,Micronesia
7372,_ i want to go to the pub,_ i wanna go to the pub,neutral,60-70,Moldova
7373,thanks mate just came on board here at twitter tweet up sounds great,p sounds great.,positive,70-100,Monaco
7374,oh and now mondays also mean new norp_american dad so glad i watched that show so funny and it makes mondays even better,glad,positive,0-20,Mongolia
7375,aww only org_NUMBERminutes left of family guy,aww only 15minutes left of family guy,neutral,21-30,Montenegro
7376,getting bored of walking up and down the stairs,getting bored of walking up and down the stairs,negative,31-45,Morocco
7377,eating toast peanut butteryum,"eating toast  ~peanut butter,,yum",positive,46-60,Mozambique
7378,barely awake eating breakfast marathon time_morning good luck to all the racers and happy mothers day,good luck,positive,60-70,Myanmar (formerly Burma)
7379,person_helloo,helloooo !!!,neutral,70-100,Namibia
7380,thinking i m super excited about date_this date_week,super excited,positive,0-20,Nauru
7381,org_orangepineapplebanana org_smoothie after a very long very hard day heaven,heaven!,positive,21-30,Nepal
7382,i m pretty boredtried my mom is going to be home in an hour is fixing to leave aww she s going to gpe_texas for date_a date_month,i`m pretty bored/tried.,negative,31-45,Netherlands
7383,going to go drop some logs in the pool back in time_NUMBER time_minute,gonna go drop some logs in the pool  back in 15 min,neutral,46-60,New Zealand
7384,org_facepanda is cool,facepanda is cool,positive,60-70,Nicaragua
7385,i m running out of things to say and i m starting to think you ll hate me for flooding your inbox with philippines tour,hate,negative,70-100,Niger
7386,is on allegra flonase and a steroid inhaler for the rest of the allergy season throat still hurts from the asthma,throat still hurts from the asthma,negative,0-20,Nigeria
7387,about to start my least favourite chore mopping the floor,least favourite,negative,21-30,North Korea
7388,why does twitter hate me i can not put no photos on my page,why does twitter hate me,negative,31-45,North Macedonia
7389,and were going to pune org_moro,and were going to pune tomorrow,neutral,46-60,Norway
7390,awesome milkshakes i had areo mint we just blended it up it was like a lumpy smoothie so then we did some more chattering and,awesome,positive,60-70,Oman
7391,so many freebies for all my jbnoy friends spam thread soon,spam thread,negative,70-100,Pakistan
7392,time_night time_night my twitter loves on the phone then sleep,night night my twitter loves on the phone then sleep,positive,0-20,Palau
7393,days,5 days,neutral,21-30,Palestine State
7394,i know but like i said i have no idea how long it takes for them to investigate this stuff,"i know. but like i said, i have no idea how long it takes for them to investigate this stuff.",neutral,31-45,Panama
7395,why the ca nt i be over this i feel like crying bit i gpe_realy do nt want to why is this bothering me soo much,i feel like crying bit i realy don`t want to  why is this bothering me sooooooo much !?,negative,46-60,Papua New Guinea
7396,sounds like my town,sounds like my town,neutral,60-70,Paraguay
7397,_ cullen i hate the rain laughs thanks smiles i miss her loads i could not stop crying before,_cullen8 i hate the rain *laughs*. thanks *smiles* i miss her loads i couldnt stop crying before,neutral,70-100,Peru
7398,NUMBER later i feel so good but guilty,$300 later... i feel so good! but guilty,neutral,0-20,Philippines
7399,ha ha thanks person_tom i m such a loser hopefully going on the NUMBERnd date_june till rd julywhat date you goin you missing helen x,ha ha thanks tom! i`m such a loser! hopefully going on the 22nd june till 3rd july...what date u goin? u missing helen?  x,neutral,21-30,Poland
7400,vmware fusion seems getting slower and slower,vmware fusion seems getting slower and slower,neutral,31-45,Portugal
7401,happy NUMBERth i m going to sleep now laugh out loud,happy,positive,46-60,Qatar
7402,listening to some music,listening to some music!,neutral,60-70,Romania
7403,thanks for the message just worked out how to see them and reply,thanks for the message,positive,70-100,Russia
7404,happy birthday let us know what you get up to old boy,happy,positive,0-20,Rwanda
7405,i applaud you for accepting marriage i have rels that are born again that hate me for it,"i applaud you for accepting **** marriage, i have rels that are born again that hate me for it.",neutral,21-30,Saint Kitts and Nevis
7406,yeah,yeah !!,neutral,31-45,Saint Lucia
7407,the sun just came out pray for me guys writing skills test no pass no class no graduate,"the sun just came out!!! pray for me guys!!!  writing skills test   no pass, no class, no graduate -.",neutral,46-60,Saint Vincent and the Grenadines
7408,lucky been beggin for jury duty for yearsthey do not ever send me notices just notices for other people to my address,..they dont ever send me notices! just notices for other people to my address!,negative,60-70,Samoa
7409,hey yay thanks wow your page is awesome,!  wow ur page is awesom,positive,70-100,San Marino
7410,i amintheroom i amwatchingthehannahmoviewithmomshesaidthisfilmverygreat,great.,positive,0-20,Sao Tome and Principe
7411,omg my dad called me a johny come lately haha because i m slow haha,omg! my dad called me a johny come lately haha because i`m slow  haha,neutral,21-30,Saudi Arabia
7412,life is funny and ironic at the same time isn,life is funny and ironic at the same time isn`****?,neutral,31-45,Senegal
7413,ca nt believe er is over,can`t believe er is over,neutral,46-60,Serbia
7414,patience its worth it,"patience, it`s worth it",positive,60-70,Seychelles
7415,producing the with then anchoring and a sad goodbye to miss lynne ashminov we will miss you,a sad goodbye to miss lynne ashminov  we will miss you!,negative,70-100,Sierra Leone
7416,just got zion tweet,just got zion tweet,neutral,0-20,Singapore
7417,sounds good to me person_taylor kellie on tour together is just pure genious,good,positive,21-30,Slovakia
7418,i know it just falls right at pm my time like right in date_the date_middle date_of date_the date_day,"i know... it just falls right at 1pm my time, like right in the middle of the day",neutral,31-45,Slovenia
7419,thanks so much for following me here too i will keep you all up to date as much as possible on my makeup line plus all new collections,thanks so much,positive,46-60,Solomon Islands
7420,haha so the whole worlds there then laughing out loud,haha so the whole worlds there then lol,neutral,60-70,Somalia
7421,up and packing its date_the date_last date_day of youth camp,up and packing. its the last day of youth camp,neutral,70-100,South Africa
7422,ready to chill on the couch and watch a movie,ready to chill on the couch and watch a movie,neutral,0-20,South Korea
7423,good morning world this will be date_another date_wonderfull date_day starting with breakfst with champions my kids ofcourse,r wonderfull,positive,21-30,South Sudan
7424,tummy hurts,tummy hurts,negative,31-45,Spain
7425,when you see someone without a smile pass them yours,when you see someone without a smile pass them yours,neutral,46-60,Sri Lanka
7426,big now vanessa is going to be in date_september its going by so fast its hard because Instant Message workin so much i miss out on a lot,"its hard cuz im workin so much, i miss out on alot",negative,60-70,Sudan
7427,chemistry is not fun,chemistry is not fun..,negative,70-100,Suriname
7428,so much for just an oil change do not pass go do not collect org_NUMBER lose org_NUMBER,"so much for just an oil change... do not pass go, do not collect $200, lose $160",neutral,0-20,Sweden
7429,mins till the end of follow me date_friday,"5 mins, till the end of follow me friday",neutral,21-30,Switzerland
7430,omg i m almost done with the last block on this quilt time_just time_a time_few time_hours of work left i ca nt wait to meet my goal,i can`t wait to meet my goal,positive,31-45,Syria
7431,that is so sad wish i can do something big for the kids may person_god bless the kids always,that is so sad. wish i can do something big for the kids. may god bless the kids always.,neutral,46-60,Tajikistan
7432,dared to go back and look at that Video i made i may take it down,dared to go back and look at that vid i made - i may take it down,neutral,60-70,Tanzania
7433,how are you feeling and when are you guys coming back to canad come to vancouver,how r u feeling? and when r u guys coming back to canad?... come to vancouver!,neutral,70-100,Thailand
7434,i have class org_moro and org_moro is date_saturday i hate having class saturday,hate,negative,0-20,Timor-Leste
7435,i hate having the same hair for too long i think i want super loong hair now,i hate,negative,21-30,Togo
7436,zenrelated stuff go with the flow very easy to accomplish it started to rain so the rain will flush me away,w.' very easy to accomplish,positive,31-45,Tonga
7437,hates the everything about seafood just so happened to serve lobster in the chow hall nooww i got to headache ugh smh,"hates the everything about  seafood.. just so happened to serve lobster in the chow hall... noooowww, i gotta headache.. ugh! smh...",negative,46-60,Trinidad and Tobago
7438,yes i did see person_mitch person_hedberg and the whole floss thing he s hilarious i love him poor guy,g.  he`s hilarious.  i <3 him.  poor,neutral,60-70,Tunisia
7439,nigel really enjoyed it but he s got a big scratch on his side that inexplicably appeared afterwards,enjoyed,positive,70-100,Turkey
7440,i ca nt i m on my iphone,i can`t i`m on my iphone,neutral,0-20,Turkmenistan
7441,my kid is sick too thoughi ca nt do it by myself i ca nt go there by myself like a crazy stalker,my kid is sick too,negative,21-30,Tuvalu
7442,i need a wardrobe intervention,i need a wardrobe interventio,neutral,31-45,Uganda
7443,just got home doing art date_all date_day i want to be in a film,"just got home, doing art all day.. i want to be in a film",neutral,46-60,Ukraine
7444,my car is home yay org_NUMBERNUMBER boo i m paying my mom in installments i gave her NUMBER date_today i so need to win the lottery,y car is home. yay! $613.22 boo!  i`m paying my mom in installments. i gave her $200 today. i so need to win the lottery. :\,neutral,60-70,United Arab Emirates
7445,is enjoying the night with her folks,is enjoying the night with her folks.,positive,70-100,United Kingdom
7446,noo its going to rain on my birthday,nooooo!,negative,0-20,United States of America
7447,you should try it its the way of the deena,you should try it. it`s the way of the deena,neutral,21-30,Uruguay
7448,feeling really dizzy not So good,not soo good,negative,31-45,Uzbekistan
7449,happy date_friday dance no rain and i m about out of heretill tommorrow i sat the date_saturday time_morning shift but its still all good,happy,positive,46-60,Vanuatu
7450,good morning who wants breakfast,good morning!!,positive,60-70,Venezuela
7451,loved the sun date_today did not love a black suit and black top plus trainstubes to get to my meeting and back need to shop for date_summer,loved,positive,70-100,Vietnam
7452,make sure you pick up person_chrisette person_micheles new album epiphany in stores org_moro may th you will love it promise congratulations,congrats,positive,0-20,Yemen
7453,i am doing homework it sucks big time maths is the worst,sux big time,negative,21-30,Zambia
7454,person_mark person_harmon just got shot on my television,mark harmon just got shot on my tv,neutral,31-45,Zimbabwe
7455,cool so if you could help make that happen make sure it happens at least once in gpe_houston that d be great k thanks,thanks.,positive,46-60,Afghanistan
7456,i want some starbucks,i want some starbucks..,neutral,60-70,Albania
7457,to my pretty lady happy mothers day she s the mother of my future soninlaws,happy,positive,70-100,Algeria
7458,praying you get better soon you sweet cardinal_one sorry your still not well,praying you get better soon you sweet one,positive,0-20,Andorra
7459,i love peanut butter banana sandwiches still a Favorite of mine,love,positive,21-30,Angola
7460,saw fiddler with topol the girls looved it date_next date_month annie th row ca nt wait trip too the music store for fiddler sheet music,the girls looooved it!,positive,31-45,Antigua and Barbuda
7461,_ oh please mark all toe tweets with toe is trying to make trening topic out of toe,_ oh please mark all toe tweets with #toe.  is trying to make trening topic out of #toe,neutral,46-60,Argentina
7462,standing ovation for wieters nobody was sitting down insane hit into double play though,insane.,positive,60-70,Armenia
7463,haha i forgotitll probably be on youtubeso ill watch it later,haha i forgot...it`ll probably be on youtube...so i`ll watch it later,neutral,70-100,Australia
7464,person_aah person_kam like a fan incarnatedso kind of like a mutant till date ghalib has never yet left my questions unanswered,"aaah k..am like a fan incarnated,so kinda like a mutant. till date, ghalib has never *yet* left my questions unanswered",neutral,0-20,Austria
7465,averaged org_NUMBER per hour at work date_today got to love holidays,love,positive,21-30,Azerbaijan
7466,oh that s why,oh that`s why.,neutral,31-45,Bahamas
7467,congratss to them,congratss to them,positive,46-60,Bahrain
7468,its not looking too good outside if this continues i feel a movie time_night coming on,not looking too good,negative,60-70,Bangladesh
7469,i know it was just a joke all in good fun some people get my humor some do nt,. all in good fun.,positive,70-100,Barbados
7470,i m thinking that tonights plans are not going to happen sighsadface i should nt be surprised but i am,sigh...sadface.,negative,0-20,Belarus
7471,loving life lately looking forward to going to see samantha hanging out with natalie right now,loving life lately!!!!,positive,21-30,Belgium
7472,wants to go catch happy hour to get me a person_strawberry lemonade slush put me on thembut i do not have my carsuper,wants to go catch happy hour  to get me a strawberry lemonade slush ( put me on them)...but i dont have my car...super,neutral,31-45,Belize
7473,chilling outnow the boys have gone time to relax,chilling out...,positive,46-60,Benin
7474,haha i came home from time_a time_long time_night out and all i saw on tweetie was person_khayyam wakil i usually do nt announce and laughing out loud,"haha, i came home from a long night out, and all i saw on tweetie was khayyam wakil. i usually don`t announce and **** - lol",neutral,60-70,Bhutan
7475,created a new album on my facebook for my phantom cross stitch i want to track my own progress so i feel like i am getting something done,created a new album on my facebook for my phantom cross stitch  i want to track my own progress so i feel like i am getting something done,neutral,70-100,Bolivia
7476,the start of my day was finding a lump on my body went to the hospital apparently its nothing fewff bloodtests suck haha,apparently its nothing! fewfffff! bloodtests suck...  haha,neutral,0-20,Bosnia and Herzegovina
7477,updressed and out the house for product_NUMBER product_am on a date_sunday off to see the fishy fishys,"up,dressed, and out the house for 11 am on a sunday. off to see the fishy fishys",neutral,21-30,Botswana
7478,i painted my nails metallic blue but iãââ½m really sure about how it looks itãââ½s a pretty weird color i think person_itãââ½s person_cool,a pretty weird color!! i think itã¯â¿â½s cool,neutral,31-45,Brazil
7479,oh okthanksdo not know where the courthouse i d eitherill learn thoughany nkotb twitter stole my picture again it hates me,t hates,negative,46-60,Brunei
7480,all alone still watching tww eating norp_italian chocolate and solving logic puzzles,"all alone.  still watching tww, eating italian chocolate and solving logic puzzles.",neutral,60-70,Bulgaria
7481,i wish i could nt wrap my head around it hopefully it ll wake up some people that saythink racism does nt exist anymore,i wish i couldn`t wrap my head around it  hopefully it`ll wake up some people that say/think 'racism doesn`t exist anymore',positive,70-100,Burkina Faso
7482,org_awwh i m sorry i hope you fell better watch a film,awwwh - i`m sorry  i hope you fell better - watch a film ?,neutral,0-20,Burundi
7483,bummer yo i m starting up finals too soonso i guess ill see you around date_the date_second date_week date_of date_june then,bummer,negative,21-30,Cï¿½te d'Ivoire
7484,finally home toilet paper tetep gpe_kurang bt buat shooting kamis org_nih huaa stress gila syapa person_lg person_ya,"finally home! tp tetep, kurang 3bt buat shooting kamis nih! huaaaa, stress gila! syapa lg ya?",neutral,31-45,Cabo Verde
7485,cardinal_two fantastic shows in a row,fantastic,positive,46-60,Cambodia
7486,moorning its date_friday and that s terrific smile up d,that`s terrific! smile up!    :-|,positive,60-70,Cameroon
7487,at work supposed to be a day off but too much work to get done for plm world sigh,too much work to get done fo,negative,70-100,Canada
7488,i miss my cats but not on date_sunday time_mornings mine did that to,miss,negative,0-20,Central African Republic
7489,having serious technical issues in the studio oh well thank god for the technician,having serious technical issues in the studio  oh well thank god for the technician,neutral,21-30,Chad
7490,should nt have stayed up until almost too reading rules but i did such a good book totally worth the sleep deprivation,such a good book. totally worth the sleep deprivation.,positive,31-45,Chile
7491,gets sumthin special but i want more akankah suatu person_hari person_ku person_kan person_mendapatkannya only god knows,"gets sumthin special, but i want more. akankah suatu hari ku kan mendapatkannya...? only god knows...",neutral,46-60,China
7492,oh that would be riveting tv trips to the break room coffee toothpicks in the eyes to keep them open,e riveting,positive,60-70,Colombia
7493,finally i got my teaching load confusion cleared i will teach date_third date_year sections but with a catch,"finally, i got my teaching load confusion cleared.",positive,70-100,Comoros
7494,i love finding regional groups of twitterers glad i could connect you with a few new people,glad,positive,0-20,Congo (Congo-Brazzaville)
7495,just finished curling her hair and now has to finish getting ready but does nt have a ribbon to put in her hair,just finished curling her hair!!!! and now has to finish getting ready but doesn`t have a ribbon to put in her hair,neutral,21-30,Costa Rica
7496,i m having no luck either doing my nut in who are you hoping to see,no luck,negative,31-45,Croatia
7497,woke up from aspirating some stomach acid i m praying that i do not acid reflux and that it was a cardinal_one time thing,i`m praying that i dont acid reflux  and that it was a one time thing,negative,46-60,Cuba
7498,your face is stupid thanks i miss you too ha,// your face is stupid.   thanks... i miss you too. ha,neutral,60-70,Cyprus
7499,trying this out with my sweet little ipod i am totally nerding out and totally okay with it,trying this out with my sweet lil ipod... i am totally nerding out. and... totally ok with it,neutral,70-100,Czechia (Czech Republic)
7500,kill her,kill,negative,0-20,Democratic Republic of the Congo
7501,person_warren and hannah are dead oh my godd seriousslyy this is a tragidy,tragidy,negative,21-30,Denmark
7502,man it will be a sweep no worries,no worries,positive,31-45,Djibouti
7503,_ tastic aww that is sweet,awww that is sweet,positive,46-60,Dominica
7504,shower is taken it is in the room right by the bed date_yeasterday we had the shower on the balcony with sea wiew that was a bit nicer,nicer,positive,60-70,Dominican Republic
7505,i have burned like a ginger kid in the sun now my arms are red,ive burned like a ginger kid in the sun. now my arms are red,negative,70-100,Ecuador
7506,soo over people telling me they went to the time_tonight show i have had dreams of meeting him i m embarrassd of that a little laughing out loud,`m embarrass,negative,0-20,Egypt
