,Slang,Meaning
1143,dttriaa,don't tell the RIAA
1144,du2h,damn you to hell
1145,ducy,do you see why
1146,dugi,do you get it?
1147,dugt,did you get that?
1148,dui,driving under the influence
1149,duk,did you know
1150,dulm,do you like me
1151,dum,dumb
1152,dun,don't
1153,dunna,i don't know
1154,dunno,I don't know
1155,duno,don't know
1156,dupe,duplicate
1157,dutma,don't you text me again
1158,dvda,"double vaginal, double anal"
1159,dw,don't worry
1160,dwai,don't worry about it
1161,dwb,Driving while black
1162,dwbh,"don't worry, be happy"
1163,dwbi,Don't worry about it.
1164,dwi,deal with it
1165,dwioyot,Deal With It On Your Own Time
1166,dwmt,don't waste my time
1167,dwn,down
1168,dwt,don't wanna talk
1169,dwud,do what you do
1170,dwy,don't wet yourself
1171,dy2h,damn you to hell
1172,dya,Do you
1173,dyac,damn you auto correct
1174,dycotfc,do you cyber on the first chat
1175,dyec,Don't You Ever Care
1176,dygtp,did you get the picture
1177,dyk,did you know
1178,dylh,do you like him
1179,dylm,do you love me
1180,dylos,do you like oral sex
1181,dym,Do you mind
1182,dymm,do you miss me
1183,dynk,do you not know
1184,dynm,do you know me
1185,dyt,Don't you think
1186,dyth,Damn You To Hell
1187,dyw,don't you worry
1188,dyw2gwm,do you want to go with me
1189,dywmtcoaeyptucomf,do you want me to come over and eat your p***y until you c** on my face
1190,dywtmusw,do you want to meet up some where
1191,Idkwtfytb,I dont know what the f**k you're talking about
1192,dept,department
1193,e-ok,Electronically OK
1194,e.g.,example
1195,e4u2s,easy for you to say
1196,eabod,eat a bag of dicks
1197,ead,eat a d**k
1198,ebitda,"earnings before interest, taxes, depreciation and amortization"
1199,ecf,error carried forward
1200,edumacation,education
1201,eedyat,idiot
1202,eejit,idiot
1203,ef,f**k
1204,ef-ing,f**king
1205,efct,effect
1206,Eff,f**k
1207,effed,f**ked
1208,efffl,extra friendly friends for life
1209,effin,f**king
1210,effing,f**king
1211,eg,evil grin
1212,ehlp,help
1213,eil,explode into laughter
1214,el!t,elite
1215,eleo,Extremely Low Earth Orbit
1216,eli5,explain it like I'm five
1217,ello,hello
1218,elo,hello
1219,em,them
1220,emm,email me
1221,emo,emotional
1222,emp,eat my p***y
1223,enat,every now and then
1224,enit,isn't it
1225,ENM,Ethical Non-monogamy
1226,enof,enough
1227,enuf,enough
1228,enuff,enough
1229,eob,End of Business
1230,eoc,end of conversation
1231,eod,End of day
1232,eof,end of file
1233,eom,end of message
1234,eos,end of story
1235,eot,end of transmission
1236,eotw,end of the world
1237,epa,Emergency Parent Alert
1238,eq,Everquest
1239,eq2,Everquest2
1240,ere,here
1241,errythang,Everything
1242,errythin,everything
1243,esad,eat s**t and die
1244,esadyffb,eat s**t and die you fat f**king b*****d
1245,esbm,Everyone sucks but me
1246,esc,escape
1247,esl,eat s**t loser
1248,eta,Estimated Time of Arrival
1249,etla,extended three letter acronym
1250,etmda,Explain it to my dumb ass
1251,etp,eager to please
1252,eula,end user license agreement
1253,ev1,everyone
1254,eva,ever
1255,evaa,ever
1256,evar,ever
1257,evercrack,Everquest
1258,every1,everyone
1259,evn,even
1260,evr,ever
1261,evry,every
1262,evry1,every one
1263,evrytin,everything
1264,ex-bf,Ex-Boy Friend
1265,ex-gf,Ex-Girl Friend
1266,exp,experience
1267,ey,hey
1268,eyez,eyes
1269,ez,Easy
1270,ezi,easy
1271,f u,f**k you
1272,f#cking,f**king
1273,f&e,forever and ever
1274,f'n,f**king
1275,f-ing,f**king
1276,f.b.,facebook
1277,f.m.l.,f**k my life
1278,f.u.,f**k you
1279,f/o,f**k off
1280,f00k,f**k.
1281,f2f,face to face
1282,f2m,female to male
1283,f2p,free to play
1284,f2t,Free to talk
1285,f4c3,face
1286,f4eaa,friends forever and always
1287,f4f,female for female
1288,f4m,female for male
1289,f8,fate
1290,f9,fine
1291,f@,fat
1292,fa-q,f**k you
1293,faa,forever and always
1294,faafo,f**k around and find out
1295,fab,fabulous
1296,FAFO,f**k Around Find Out
1297,faggit,faggot
1298,fah,Funny as hell
1299,faic,For All I Care
1300,fam,family
1301,fankle,area between foot and ankle
1302,fao,for attention of
1303,fap,masturbate
1304,fapping,masterbating
1305,faq,frequently asked question
1306,farg,f**k
1307,fashizzle,for sure
1308,fav,Favorite
1309,fave,favorite
1310,fawk,f**k
1311,FB,FaceBook
1312,fbgm,f**k b***hes get money
1313,FBI, Federal Bureau of Investigation.
1314,fbimcl,Fall Back In My Chair Laughing
1315,fbk,facebook
1316,fbtw,Fine Be That Way
1317,fc,fruit cake
1318,fcbk,facebook
1319,fcfs,first come first served
1320,fck,f**k
1321,fckd,f**ked
1322,fckin,f**king
1323,fcking,f**king
1324,fckm3hdbayb,f**k Me Hard Baby
1325,fcku,f**k you
1326,fcol,for crying out loud
1327,fcuk,f**k
1328,fe,fatal error
1329,feat,Featuring
1330,feck,f**k
1331,fer,for
1332,ferr,For
1333,ff,friendly fire
1334,ffa,free for all
1335,ffcl,falling from chair laughing
1336,fff,follow for follow
1337,ffl,friend for life
1338,ffr,for future reference
1339,ffs,for f**k's sake
1340,fft,food for thought
1341,ffxi,Final Fantasy 11
1342,fg,f**king gay
1343,fgi,f**king google it
1344,fgs,for God's sake
1345,fgssu,For Gods sake shut up
1346,fgt,faggot
1347,fhrihp,f**k her right in her p***y
1348,Fhritp,f**k her right in the p***y
1349,fi,f**k it
1350,fi9,fine
1351,fibijar,"f**k it buddy, I'm just a reserve"
1352,fifo,"first in, first out"
1353,fify,Fixed It For You
1354,figjam,"f**k I'm good, just ask me"
1355,figmo,F*ck it - got my orders
1356,fiic,f**ked If I Care
1357,fiik,f**ked If I Know
1358,fimh,forever in my heart
1359,finna,fitting to
1360,finsta,fake instagram
1361,fio,figure it out
1362,fitb,fill in the blank
1363,fiv,five
1364,fk,f**k
1365,fka,formerly known as
1366,fkd,f**ked
1367,fker,f**ker
1368,fkin,f**king
1369,fking,f**king
1370,fkn,f**king
1371,fku,f**k you
1372,flamer,angry poster
1373,flames,angry comments
1374,flicks,pictures
1375,floabt,for lack of a better term
1376,fm,f**k me
1377,fmah,f**k my ass hole
1378,fmao,freezing my ass of
1379,fmb,f**k me b***h
1380,fmbb,f**k Me Baby
1381,fmbo,f**k my brains out
1382,fmfl,f**k my f**king life
1383,fmflth,f**k My f**king Life To Hell
1384,fmh,f**k me hard
1385,fmhb,f**k me hard b***h
1386,fmi,for my information
1387,fmir,family member in room
1388,fmita,f**k me in the ass
1389,fml,f**k my life
1390,fmltwia,f**k me like the w***e I am
1391,fmn,f**k me now
1392,fmnb,f**k me now b***h
1393,fmnkml,f**k me now kiss me later
1394,FMOIG,Follow me on Instagram
1395,fmph,f**k my p***y hard
1396,fmq,f**k me quick
1397,fmr,f**k me runnig
1398,fmsh,f**k me so hard
1399,fmth,f**k me to hell
1400,Fmu,f**k me up
1401,fmuta,f**k me up the ass
1402,fmutp,f**k me up the p***y
1403,fn,first name
1404,fnar,For No Apparent Reason
1405,fnci,fancy
1406,fnny,funny
1407,fnpr,for no particular reason
1408,fny,funny
1409,fo,f**k off
1410,fo shizzle,for sure
1411,fo sho,for sure
1412,foa,f**k off a**h**e
1413,foad,f**k off and die
1414,foaf,friend of a friend
1415,foah,f**k off a**h**e
1416,fob,fresh off the boat
1417,focl,Falling Off Chair Laughing.
1418,fofl,fall on the floor laughing
1419,foia,freedom of information act
1420,fol,farting out loud
1421,folo,Follow
1422,FOMO,Fear Of Missing Out
1423,fomofo,f**k off mother f**ker
1424,foms,fell off my seat
1425,fone,phone
1426,foo,fool
1427,foobar,f**ked up beyond all recognition
1428,foocl,falls out of chair laughing
1429,Fooh,f**k out of here
1430,fook,f**k
1431,for sheeze,for sure
1432,fos,full of s**t
1433,foshizzle,for sure
1434,fosho,for sure
1435,foss,"free, open source software"
1436,fotcl,fell off the chair laughing
1437,fotm,Flavour of the month
1438,fouc,f**k off you c**t 
1439,fov,Field of View
1440,foyb,f**k off you b***h
1441,fo`,for
1442,fp,first post
1443,fpmitap,federal pound me in the ass prison
1444,fpos,f**king piece of s**t
1445,fps,First Person Shooter
1446,fr,for real
1447,frag,kill
1448,fragged,killed
1449,fren,friend
1450,frens,friends
1451,frgt,forgot
1452,fri.,Friday
1453,friggin,freaking
1454,frk,freak
1455,frm,from
1456,frnd,friend
1457,frnds,friends
1458,Frong,For real on god
1459,Frt,for real though
1460,fs,For Sure
1461,fse,Funniest s**t Ever
1462,fsho,for sure
1463,fsm,flying spaghetti monster
1464,fsob,f**king son of a b***h
1465,fsod,frosn screen of death
1466,fsr,for some reason
1467,fst,fast
1468,ft,f**k THAT
1469,ft2t,From time to time
1470,fta,From The Article
1471,ftb,f**k That b***h
1472,ftbfs,Failed to build from source
1473,ftf,face to face
1474,ftfa,From The f**king Article
1475,ftfw,For the f**king win!
1476,ftfy,Fixed that for you
1477,ftio,fun time is over
1478,ftk,For the Kill
1479,ftl,For The Lose
1480,ftlog,for the love of god
1481,ftlt,For the last time
1482,ftm,female to male
1483,ftmfw,for the mother f**king win
1484,ftmp,For the most part
1485,ftp,file transfer protocol
1486,ftr,For The Record
1487,fts,f**k that s**t
1488,ftsio,f**k this s**t I'm out
1489,fttp,for the time being
1490,ftw,For the win!
1491,Ftwah,For the win a**h**e
1492,fu,f**k you
1493,fu2,f**k you too
1494,fua,f**k you all
1495,fuah,f**k you ass hole
1496,fub,f**k you b***h
1497,fubah,f**ked up beyond all hope
1498,fubalm,f**ked up beyond all local maintenance
1499,fubar,f**ked up beyond all recognition
1500,fubb,f**ked up beyond belief
1501,fubh,f**ked up beyond hope
1502,fubohic,f**k you Bend over here it comes
1503,fubr,f**ked Up Beyond Recognition
1504,fucken,f**king
1505,fucktard,f**king ret*rd
1506,fuctard,f**king ret*rd
1507,fud,"fear, uncertainty and doubt"
1508,fudh,f**k you d**k head
1509,fudie,f**k you and die
1510,fugly,f**king ugly
1511,fuh-q,f**k you
1512,fuhget,forget
1513,fuk,f**k
1514,fukin,f**king
1515,fukk,f**k
1516,fukkin,f**king
1517,fukn,f**king
1518,fukr,f**ker
1519,fulla,Full of
1520,fumfer,f**k you mother f**ker
1521,funee,funny
1522,funner,more fun
1523,funy,funny
1524,fuq,f**k you
1525,fus,f**k yourself
1526,fut,f**k You Too
1527,fuu,f**k you up
1528,fux,f**k
1529,fuxing,f**king
1530,fuxor,f**ker
1531,fuxored,f**ked
1532,fvck,f**k
1533,fw,f**k with
1534,fwb,Friends with Benefits
1535,fwd,forward
1536,Fwi,f**k with it
1537,fwiw,for what it's worth
1538,fwm,Fine With Me
1539,fwob,friends with occasional benefits
1540,fwp,first world problems
1541,FWY,f**k with you
1542,fxe,foxy
1543,fxp,file exchange protocol
1544,fy,f**k you
1545,fya,for your attention
1546,fyad,f**k you and die
1547,fyah,f**k you a**h**e
1548,FYATHYRIO,f**k You And The Horse You Rode In On
1549,fyb,f**k you b***h
1550,fyc,f**k your couch
1551,fye,For Your Entertainment
1552,fyeo,For your eyes only
1553,fyf,f**k your face
1554,fyfi,For Your f**king Information
1555,fyi,for your information
1556,fyk,for your knowledge
1557,fyl,For your Love
1558,fym,f**k your mom
1559,fyp,fixed your post
1560,fyrb,f**k you right back
1561,fytd,f**k you to death
1562,fyu,f**k you up
1563,tf,The f**k
1564,*g*,grin
1565,g'nite,good night
1566,G. O. A. T.,Greatest Of All Time
1567,g/f,girlfriend
1568,g/g,got to go
1569,g/o,Get out
1570,g0,go
1571,g00g13,Google
1572,g1,good one
1573,g2,go to
1574,g2/-/,go to hell
1575,g2bg,got to be going
1576,g2bl8,going to be late
1577,g2cu,glad to see you
1578,g2e,got to eat
1579,g2g,got to go
1580,g2g2tb,got to go to the bathroom
1581,g2g2w,got to go to work
1582,g2g4aw,got to go for a while
1583,g2gb,got to go bye
1584,g2gb2wn,got to go back to work now
1585,g2ge,got to go eat
1586,g2gn,got to go now
1587,g2gp,got to go pee
1588,g2gpc,got 2 go parents coming
1589,g2gpp,got to go pee pee
1590,g2gs,got to go sorry
1591,g2h,go to hell
1592,g2hb,go to hell b***h
1593,g2k,good to know
1594,g2p,got to pee
1595,g2t2s,got to talk to someone
1596,g3y,gay
1597,g4u,good for you
1598,g4y,good for you
1599,g8,gate
1600,g9,good night
1601,g@y,gay
1602,ga,go ahead
1603,gaalma,go away and leave me alone
1604,gaf,good as f**k
1605,gafi,get away from it
1606,gafk,Going away from keyboard
1607,gafl,get a f**king life
1608,gafm,Get away from me
1609,gagf,go and get f**ked
1610,gagp,go and get pissed
1611,gah,gay ass homo
1612,gai,gay
1613,gaj,get a job
1614,gal,get a life
1615,GAM,Gay Asian Male
1616,gamez,illegally obtained games
1617,gangsta,gangster
1618,gank,kill
1619,gaoep,generally accepted office etiquette principles
1620,gaw,grandparents are watching
1621,gawd,god
1622,gb,Go back
1623,gb2,go back to
1624,gba,game boy advance
1625,gbioua,Go blow it out your ass
1626,GBiT,Get back in touch
1627,gbnf,Gone but not forgotten 
1628,gbtw,go back to work
1629,gbu,god bless you
1630,gby,good bye
1631,gc,Groupchat
1632,gcad,get cancer and die
1633,gcf,Google Click Fraud
1634,gd,good
1635,gd&r,"grins, ducks, and runs"
1636,gd4u,Good For You
1637,gday,Good Day
1638,gdby,good bye
1639,gded,grounded
1640,gdgd,good good
1641,gdi,God Damn it
1642,gdiaf,go die in a fire
1643,gdih,Go die in hell
1644,gdilf,Grandad I'd Like To f**k
1645,gdmfpos,god damn mother f**king piece of s**t
1646,gdr,"grinning, ducking, running"
1647,gemo,gay emo
1648,getcha,get you
1649,geto,ghetto
1650,gewd,good
1651,gey,gay
1652,gf,girlfriend
1653,gfad,go f**k a duck
1654,gfadh,go f**k a dead horse
1655,gfak,go fly a kite
1656,gfam,Go f**k A Monkey
1657,gfar2cu,go find a rock to crawl under
1658,gfas,go f**k a sheep
1659,gfd,god f**king damnit
1660,gfe,Girl Friend experience
1661,gfe2e,grinning from ear to ear
1662,gfg,good f**king game
1663,gfgi,go f**king google it
1664,gfi,good f**king idea
1665,gfj,good f**king job
1666,gfl,grounded for life
1667,gfm,God Forgive Me
1668,gfo,go f**k off
1669,gfu,go f**k yourself
1670,gfurs,go f**k yourself
1671,gfus,go f**k yourself
1672,gfx,graphics
1673,gfy,good for you
1674,gfyd,go f**k your dad
1675,gfym,go f**k your mom
1676,gfys,go f**k yourself
1677,gg,good game
1678,gga,good game all
1679,ggal,go get a life
1680,ggf,go get f**ked
1681,ggg,"Go, go, go! "
1682,ggi,go google it
1683,Ggmd,Good game my dude
1684,ggnore,good game no rematch
1685,ggp,gotta go pee
1686,ggpaw,gotta go parents are watching
1687,ggs,good games
1688,ggwp,Good Game Well-Played
1689,gh,good half
1690,ghei,Gay
1691,ghey,gay
1692,gigig,get it got it good
1693,gigo,garbage in garbage out
1694,gilf,Grandma I'd like to f**k
1695,gim,google instant messanger
1696,gimme,give me
1697,gimmie,give me
1698,gis,Google Image Search
1699,gitar,guitar
1700,giv,give
1701,giyf,google is your friend
1702,gj,good job
1703,gjial,go jump in a lake
1704,gjp,good job partner
1705,gjsu,god just shut up
1706,gjt,good job team
1707,gky,Go kill yourself
1708,gkys,Go kill yourself
1709,gl,good luck
1710,gl hf,"good luck, have fun"
1711,gl&hf,good luck and have fun
1712,gla,good luck all
1713,glbt,"Gay, lesbian, bisexual, transgenderd"
1714,glf,group looking for
1715,glhf,good luck have fun
1716,glln,Got Laid Last Night
1717,glnhf,Good Luck and Have Fun
1718,glty,Good luck this year
1719,glu,girl like us
1720,glu2,good luck to you too
1721,glux,good luck
1722,glwt,good luck with that
1723,gm,good morning
1724,gma,grandma
1725,gmab,give me a break
1726,gmabj,give me a blowjob
1727,gmafb,give me a f**king break
1728,gmao,Giggling my ass off
1729,Gmas,Give me a second
1730,gmfao,Giggling My f**king Ass Off
1731,gmfu,got me f**ked up
1732,gmilf,grandmother i'd like to f**k
1733,gmod,Global Moderator
1734,gmta,great minds think alike
1735,gmtyt,good morning to you too
1736,gmv,Got my vote
1737,gmybs,give me your best shot
1738,gn,good night
1739,gn8,good night
1740,gnasd,good night and sweet dreams
1741,gndn,"Goes nowhere,does nothing"
1742,gnfpwlbn,good news for people who love bad news
1743,gng,going
1744,gng2,going to
1745,gngbng,gang bang
1746,gnight,good night
1747,gnite,good night
1748,gnn,get naked now
1749,gno,going to do
1750,gnoc,get naked on cam
1751,gnos,get naked on screen
1752,gnr,Guns n' roses
1753,gnrn,get naked right now
1754,gnst,goodnight sleep tight
1755,gnstdltbbb,good night sleep tight don't let the bed bugs bite
1756,goc,get on camera
1757,goi,get over it 
1758,goia,get over it already
1759,goin,going
1760,gok,God Only Knows
1761,gokid,got observers - keep it decent
1762,gokw,God Only Knows Why
1763,gol,giggle out loud
1764,gomb,get off my back
1765,goml,get out of my life
1766,gona,Gonna
1767,gonna,going to
1768,good9,goodnite
1769,gooh,get out of here!
1770,goomh,get out of my head
1771,gork,God only really knows
1772,gosad,go suck a d**k
1773,gotc,get on the computer
1774,gotcha,got you
1775,gotta,got to
1776,gow,gears of war
1777,goya,Get Off Your Ass
1778,goyhh,get off your high horse
1779,gp,good point
1780,gpb,gotta pee bad
1781,GPU,Graphics Processing Unit
1782,gpwm,good point well made
1783,gpytfaht,gladly pay you tuesday for a hamburger today
1784,gr8,great
1785,gr8t,great
1786,grats,congratulations
1787,gratz,congratulations
1788,grfx,graphics
1789,grillz,metal teeth
1790,grl,girl
1791,grmbl,grumble
1792,grog,beer
1793,grrl,Girl
1794,grtg,Getting ready to go
1795,grvy,groovy
1796,gsad,go suck a d**k
1797,gsave,global struggle against violent extremists
1798,gsd,getting s**t done
1799,gsfg,Go search f**king google
1800,gsi,go suck it
1801,gsoh,Good Sense of Humor
1802,gsp,get some p***y
1803,gsta,Gangster
1804,gt,get
1805,gta,Grand Theft Auto
1806,gtas,go take a s**t
1807,gtb,Go To Bed
1808,Gtd,Getting things done
1809,gtf,get the f**k
1810,gtfa,Go The f**k Away
1811,gtfbtw,get the f**k back to work
1812,gtfh,go to f**king hell
1813,gtfo,get the f**k out
1814,gtfoi,get the f**k over it
1815,gtfon,Get the f**k out noob
1816,gtfooh,get the f**k out of here
1817,gtfoomf,get the f**k out of my face
1818,gtfu,grow the f**k up
1819,gtfuotb,get the f**k up out this b***h
1820,gtg,got to go
1821,gtgb,got to go bye
1822,gtgbb,got to go bye bye
1823,gtgfn,got to go for now
1824,gtglyb,got to go love you bye
1825,gtgmmiloms,got to go my mum is looking over my shoulder
1826,gtgn,got to go now
1827,gtgp,got to go pee
1828,gtgpp,got to go pee pee
1829,gtgtb,got to go to bed
1830,gtgtpirio,got to go the price is right is on
1831,gtgtwn,Got to go to work now
1832,gth,go to hell
1833,gtha,go the hell away
1834,gthb,go to hell b***h
1835,gthmf,go to hell mothaf**ka
1836,gtho,get the hell out
1837,gthu,grow the heck up
1838,gthyfah,go to hell you f**king a**h**e
1839,gtk,good to know
1840,gtm,giggling to myself
1841,gtn,getting
1842,gtp,Got to pee
1843,gtr,Got to run
1844,gts,going to school
1845,gtsy,good to see you
1846,gttp,get to the point
1847,gtty,good talking to you
1848,gu,grow up
1849,gu2i,get used to it 
1850,gud,good
1851,gudd,good
1852,gui,graphical user interface
1853,gurb,got your back
1854,gurl,girl
1855,gurlz,girls
1856,guru,expert
1857,gw,good work
1858,gwijd,guess what i just did
1859,gwm,gay white male
1860,gwork,good work
1861,gwrk,good work
1862,gws,get well soon
1863,gwytose,go waste your time on someone else
1864,gy,gay
1865,gyabitmfhrn,get your ass back in the mother f**king house right now
1866,gyabitmfhrnbibya,get your ass back in the mother f**king house right now before i beat your ass
1867,gyaithrnbibya,get your ass in the house right now before I beat your ass
1868,gyaitmfhrn,get your ass in the mother f**king house right now
1869,gyaitmfhrnbibya,get your ass in the mother f**king house right now before i beat your ass
1870,gyal,girl
1871,gypo,Get Your Penis Out
1872,h&k,hugs and kisses
1873,h*r,homestar runner
1874,h+k,hugs and kisses
1875,h.o,hold on
1876,h/e,However
1877,h/mo,homo
1878,h/o,hold on
1879,h/u,hold up
1880,h/w,homework
1881,h2,Halo 2
1882,h2gtb,have to go to the bathroom
1883,h2o,water
1884,h2sys,hope to see you soon
1885,h3y,hey
1886,h4kz0r5,hackers
1887,h4x,Hacks
1888,h4x0r,hacker
1889,h4xor,hacker
1890,h4xr,hacker
1891,h4xrz,hackers
1892,h4xx0rz,hacker
1893,h4xxor,hacker
1894,h8,hate
1895,h80r,hater
1896,h82sit,hate to say it
1897,h83r,hater
1898,h8ed,hated
1899,h8er,hater
1900,h8r,hater
1901,h8red,Hatred
1902,h8s,hates
1903,h8t,hate
1904,h8t0r,hater
1905,h8t3r,hater
1906,h8te,hate
1907,h8ter,hater
1908,h8tr,hater
1909,h8u,I Hate You
1910,h9,Husband in Room
1911,h@x0r,Hacker
1912,habt,how about this
1913,hafta,have to
1914,hagd,have a good day
1915,hagl,have a great life
1916,hagn,have a good night
1917,hago,have a good one
1918,hags,have a great summer
1919,hai,hello
1920,hait,hate
1921,hak,here's a kiss
1922,hakas,have a kick ass summer
1923,hammrd,hammered
1924,han,how about now
1925,hangry,hungry and angry at the same time
1926,hau,How Are You
1927,hav,have
1928,havnt,haven't
1929,hawf,Husband and Wife forever
1930,hawt,hot
1931,hawtie,hottie
1932,hax,Hacks
1933,hax0r,hacker
1934,hax0red,hacked
1935,hax0rz,Hackers
1936,haxer,Hacker
1937,haxor,hacker
1938,haxoring,hacking
1939,haxors,hackers
1940,haxorz,hackers
1941,haxxor,hacker
1942,haxxzor,Hacker
1943,haxz0r,Hacker
1944,haxzor,hacker
1945,hayd,how are you doing
1946,hb,hurry back
1947,hb4b,hoes before bros
1948,hbd,happy birthday
1949,hbic,head b***h in charge
1950,hbii,how big is it
1951,hbu,how about you
1952,hbuf,how about your family
1953,hby,how about you
1954,hc,how come
1955,hcbt1,he could be the one
1956,hcib,how can it be
1957,Hcih,How can I help
1958,hcihy,how can I help you
1959,hdop,Help Delete Online Predators
1960,hdu,how dare you
1961,Hdy,How Dare You
1962,hdydi,How do you do it
1963,hdydt,how did you do that
1964,hdyk,how do you know
1965,heh,haha
1966,hella,very
1967,heya,hey
1968,heyt,hate
1969,heyy,hello
1970,heyya,hello
1971,hf,have fun
1972,hfn,Hell f**king no
1973,hfs,holy f**king s**t!
1974,hfsbm,holy f**king s**t batman
1975,hfwt,have fun with that
1976,hg,HockeyGod
1977,hght,height
1978,hhiad,holy hole in a doughnut
1979,hhiadb,Holy Hole in a Donut Batman
1980,hhok,Ha Ha Only Kidding
1981,hhyb,how have you been
1982,hi2u,hello
1983,hi2u2,hello to you too
1984,hiet,height
1985,hiik,Hell If I Know
1986,hijack,start an off topic discussion
1987,Himb,He is my boyfriend
1988,hith,how in the hell
1989,hiw,husband is watching
1990,hiya,hello 
1991,hiybbprqag,copying somebody else's search results
1992,hj,hand job
1993,hl,Half-Life
1994,hl2,Half-Life 2
1995,hla,Hot lesbian action
1996,hlb,horny little b*****d
1997,hld,hold
1998,hldn,hold on
1999,hldon,hold on
2000,hll,Hell
2001,hlm,he loves me
2002,hlo,hello
2003,hlp,help
2004,hly,holy
2005,hlysht,Holy s**t
2006,hmb,hold me back
2007,hmewrk,homework
2008,hmfic,head mother f**ker in charge
2009,hml,hate my life
2010,hmoj,holy mother of jesus
2011,hmp,help me please
2012,hmu,Hit Me Up
2013,hmul,Hit me up later
2014,hmus,Hit me up sometime
2015,hmw,homework
2016,hmwk,homework
2017,hmwrk,Homework
2018,hng,horny net geek
2019,hngry,hungry
2020,hnic,head n****r in charge
2021,ho,hold on
2022,hoas,Hang on a second
2023,hoau,how old are you
2024,hoay,how old are you
2025,hodl,hold
2026,hoh,head of household
2027,hom,home
2028,homey,Friend
2029,homie,good friend
2030,homo,homosexual
2031,hoopty,broke down automobile
2032,hott,hot
2033,howdey,hello
2034,howz,hows
2035,hpb,high ping b*****d
2036,hpoa,Hot Piece of Ass
2037,hppy,Happy
2038,hpy,happy
2039,hpybdy,happy birthday
2040,hr,hour
2041,hre,here
2042,hrny,horny
2043,hrs,hours
2044,hru,how are you
2045,hrud,how are you doing
2046,hruf,how are you friend
2047,Hrut,How are you today
2048,hs,headshot
2049,hsd,high school dropout
2050,hsik,how should i know
2051,hsr,homestar runner
2052,hss,horse s**t and splinters
2053,hswm,Have Sex With me
2054,ht,Heard Through
2055,htc,hit the cell
2056,htf,how the f**k
2057,htfu,Hurry the f**k up
2058,htg,have to go
2059,hth,hope that helps
2060,hthu,Hurry the hell up
2061,htr,hater
2062,HTSYA,Hope To See You Again
2063,http,hyper text transfer protocol
2064,hu,Hey you
2065,hubby,husband
2066,hud,Heads Up Display
2067,huggle,hug and cuddle
2068,hugz,hugs
2069,hun,honey
2070,hunnit,hundred
2071,hv,have
2072,hve,have
2073,hvnt,haven't
2074,hw,homework
2075,hw/hw,help me with homework 
2076,hwg,here we go
2077,hwga,here we go again
2078,hwik,how would i know
2079,hwk,homework
2080,hwmbo,he who must be obeyed
2081,hwmnbn,he who must not be named
2082,hwms,hot wild monkey sex
2083,hwu,hey what's up
2084,hwz,how is
2085,hxc,hardcore
2086,hy,hell yeah
2087,hyb,how you been
2088,Hybu,Hit you back up 
2089,hyfb,hope you feel better
2090,hyg,here you go
2091,hyhf,hope you have fun
2092,hyk,how you know
2093,Hyu,Hit you up
2094,i <3 u,I love you
2095,i c,i see
2096,i8,alright
2097,i8u,i hate you
2098,i<3 u,i love you
2099,i<3u,I love you
2100,iab,I Am Bored
2101,iacwdym,i am confused what do you mean
2102,iafh,I Am f**king Hot
2103,iafi,I am from India
2104,iag,it's all good
2105,iah,i am horny
2106,iai,i am interested
2107,iajsn,I am just scraping noslang.com
2108,ianabs,I am not a brain surgeon
2109,ianacl,I am not a copyright lawyer
2110,ianal,I am not a lawyer
2111,ianalb,"I am not a lawyer, but.."
2112,ianars,I am not a rocket scientist
2113,ians,I am Not Sure
2114,ianyl,I am not your lawyer
2115,iap,I Am Pissed
2116,iasb,i am so bored
2117,iaspfm,"i am sorry please forgive
me"
2118,iatb,I am the best
2119,iateu,i hate you
2120,iavb,i am very bored
2121,iaw,In Another Window
2122,iawtc,I agree with this comment
2123,iawtp,I agree with this post
2124,iawy,I agree with you
2125,ib,I'm back
2126,ibbl,I'll be back later
2127,ibcd,Idiot between chair & desk
2128,ibs,Internet b***h Slap 
2129,ibt,I'll be there
2130,IBT4U,I'll be there for you
2131,ibtl,In Before The Lock
2132,ibw,I'll be waiting
2133,ic,I see
2134,icb,I can't believe
2135,icbi,i can't believe it
2136,icbiwoop,"I chuckled, but it was out of pity."
2137,icbt,i can't believe that
2138,icbu,I can't believe you
2139,icbyst,i cant believe you said that
2140,iccl,I could care less
2141,icgup,I can give you pleasure
2142,icic,I See. I See
2143,ICKMEOY,I Cant Keep My Eyes Off You
2144,icp,insane clown posse
2145,icr,I can't rememer
2146,icsrg,I can still reach Google
2147,ictrn,I can't talk right now
2148,icty,i can't tell you 
2149,icu,i see you
2150,icudk,in case you didn't know
2151,icup,i see you pee
2152,icw,I care why?
2153,icwudt,I see what you did there
2154,icwum,I see what you mean
2155,icydk,in csae you didn't know
2156,icydn,in case you didn't know
2157,icymi,in case you missed it
2158,id10t,idiot
2159,idac,I don't actually care
2160,idak,i don't actually know
2161,Idau,I didn't ask you
2162,idbtwdsat,I don't believe they would do such a thing
2163,idby,I Don't Believe You
2164,idc,I don't care
2165,iddi,I didn't do it
2166,idec,I don't even care
2167,Idefk,I don’t even f**king know
2168,Idegaf,I don't even give a f**k
2169,idek, I don't even know
2170,idfc,i don't f**king care
2171,idfk,i don't f**king know
2172,idfts,I don't f**king think so
2173,idgac,i don't give a crap
2174,idgad,I don't give a damn
2175,idgaf,i don't give a f**k
2176,idgaff,I don't give a flying f**k
2177,idgafs,I don't give a f**king s**t
